Familia profesional,Código QP,Nombre cualificación,Nivel,Básico/Medio/Superior,Ciclo Formativo
Electricidad y Electrónica,ELE786_3,Gestión y supervisión del montaje y mantenimiento de instalaciones de alta tensión,3,Ciclo Grado Superior,Técnico Superior en Energías Renovables
Electricidad y Electrónica,ELE813_3,Desarrollo de proyectos y gestión de sistemas de robótica colaborativa,3,Curso de Especialización,Robótica Colaborativa
Energía y Agua,ENA191_2,Montaje y mantenimiento de redes de agua,2,Ciclo Grado Medio,Técnico en Redes y Estaciones de Tratamiento de Aguas
Energía y Agua,ENA261_2,Montaje y mantenimiento de instalaciones solares fotovoltaicas,2,Ciclo Grado Medio,Técnico en Instalaciones Eléctricas y Automáticas
Energía y Agua,ENA472_2,"Montaje, puesta en servicio, mantenimiento, inspección y revisión de instalaciones receptoras y aparatos de gas",2,Ciclo Grado Medio,Técnico en Instalaciones de Producción de Calor
Energía y Agua,ENA193_3,Gestión del montaje y mantenimiento de parques eólicos,3,Ciclo Grado Superior,Técnico Superior en Energías Renovables
Energía y Agua,ENA262_3,Organización y control del montaje y mantenimiento de redes e instalaciones de agua y saneamiento,3,Ciclo Grado Superior,Técnico Superior en Gestión del Agua
Energía y Agua,ENA263_3,Organización y proyectos de instalaciones solares fotovoltaicas,3,Ciclo Grado Superior,Técnico Superior en Energías Renovables
Energía y Agua,ENA264_3,Organización y proyectos de instalaciones solares térmicas,3,Ciclo Grado Superior,Técnico Superior en Eficiencia Energética y Energía Solar Térmica
Energía y Agua,ENA358_3,Eficiencia energética de edificios,3,Ciclo Grado Superior,"Técnico Superior en Eficiencia Energética y Energía Solar Térmica
Técnico Superior en Proyectos de Edificación"
Energía y Agua,ENA474_3,"Gestión del montaje, operación y mantenimiento de subestaciones eléctricas",3,Ciclo Grado Superior,Técnico Superior en Energías Renovables
Energía y Agua,ENA656_3 ,Gestión del uso eficiente del agua,3,Ciclo Grado Superior,Técnico Superior en Gestión del Agua
Energía y Agua,ENA739_3,Auditoría energética,3,Curso de Especialización,Auditoría energética
Fabricación Mecánica,FME031_1,Operaciones auxiliares de fabricación mecánica,1,Ciclo Grado Básico,Técnico Básico en Fabricación y Montaje
Fabricación Mecánica,FME032_2,Mecanizado por arranque de viruta,2,Ciclo Grado Medio,Técnico en Mecanizado
Fabricación Mecánica,FME033_2,"Mecanizado por abrasión, electroerosión y procedimientos especiales",2,Ciclo Grado Medio,Técnico en Mecanizado
Fabricación Mecánica,FME034_2,Mecanizado por corte y conformado,2,Ciclo Grado Medio,Técnico en Mecanizado
Fabricación Mecánica,FME350_2,"Calderería, carpintería y montaje de construcciones metálicas",2,Ciclo Grado Medio,Técnico en Soldadura y calderería
Fabricación Mecánica,FME351_2,Fabricación y montaje de instalaciones de tubería industrial,2,Ciclo Grado Medio,Técnico en Soldadura y calderería
Fabricación Mecánica,FME352_2,Montaje y puesta en marcha de bienes de equipo y maquinaria industrial,2,Ciclo Grado Medio,Técnico en Mantenimiento Electromecánico
Fabricación Mecánica,FME684_2,"Soldadura por arco bajo gas protector con electrodo consumible, soldeo ""MIG/MAG""",2,Ciclo Grado Medio,Técnico en Soldadura y Calderería
Fabricación Mecánica,FME685_2,"Soldadura por arco bajo gas protector con electrodo no consumible, soldeo ""TIG""",2,Ciclo Grado Medio,Técnico en Soldadura y Calderería
Fabricación Mecánica,FME686_2,Soldadura por arco con electrodo revestido,2,Ciclo Grado Medio,Técnico en Soldadura y Calderería
Fabricación Mecánica,FME037_3,Diseño de productos de fabricación mecánica,3,Ciclo Grado Superior,"Técnico Superior en Mecatrónica Industrial
Técnico Superior en Diseño en Fabricación Mecánica"
Fabricación Mecánica,FME187_3,"Producción en mecanizado, conformado y montaje mecánico",3,Ciclo Grado Superior,Técnico Superior en Programación de la Producción en Fabricación Mecánica
Fabricación Mecánica,FME354_3,Diseño de calderería y estructuras metálicas,3,Ciclo Grado Superior,Técnico Superior en Construcciones Metálicas
Fabricación Mecánica,FME355_3,Diseño de tubería industrial,3,Ciclo Grado Superior,Técnico Superior en Construcciones Metálicas
Fabricación Mecánica,FME356_3,Gestión de la producción en fabricación mecánica,3,Ciclo Grado Superior,"Técnico Superior en Construcciones Metálicas
Técnico Superior en Programación de la Producción en Fabricación Mecánica
Técnico Superior en Programación de la Producción en Moldeo de Metales y Polímeros"
Fabricación Mecánica,FME357_3,Producción en construcciones metálicas,3,Ciclo Grado Superior,Técnico Superior en Construcciones Metálicas
Hostelería y Turismo,HOT091_1,Operaciones básicas de cocina,1,Ciclo Grado Básico,"Técnico Básico en Cocina y Restauración
Técnico Básico en Actividades Domésticas y Limpieza de edificios"
Hostelería y Turismo,HOT092_1,Operaciones básicas de restaurante y bar,1,Ciclo Grado Básico,Técnico Básico en Cocina y Restauración
Hostelería y Turismo,HOT222_1,Operaciones básicas de pisos en alojamientos,1,Ciclo Grado Básico,Técnico Básico en Alojamiento y Lavandería
Hostelería y Turismo,HOT325_1,Operaciones básicas de catering,1,Ciclo Grado Básico,"Técnico Básico en Alojamiento y Lavandería
Técnico Básico en Cocina y Restauración"
Hostelería y Turismo,HOT093_2,Cocina,2,Ciclo Grado Medio,Técnico en Cocina y Gastronomía
Hostelería y Turismo,HOT223_2,Repostería,2,Ciclo Grado Medio,"Técnico en Cocina y Gastronomía
Técnico en Panadería, Repostería y Confitería
Técnico en Servicios en Restauración"
Hostelería y Turismo,HOT679_2,"Servicios de restaurante, bar y cafetería",2,Ciclo Grado Medio,Técnico en Servicios en Restauración
Hostelería y Turismo,HOT094_3,Recepción,3,Ciclo Grado Superior,Técnico Superior en Gestión de Alojamientos Turísticos
Hostelería y Turismo,HOT332_3,Dirección y producción en cocina,3,Ciclo Grado Superior,"Técnico Superior en Dirección de Cocina
Técnico Superior en Dirección de Servicios en Restauración"
Hostelería y Turismo,HOT333_3,Gestión de pisos y limpieza en alojamientos,3,Ciclo Grado Superior,Técnico Superior en Gestión de Alojamientos Turísticos
Hostelería y Turismo,HOT335_3,Guía de turismo,3,Ciclo Grado Superior,"Técnico Superior en Guía, Información y Asistencias Turísticas
Técnico Superior en Agencias de Viajes y Gestión de Eventos"
Hostelería y Turismo,HOT336_3,Promoción turística local e información al visitante,3,Ciclo Grado Superior,"Técnico Superior en Guía, Información y Asistencias Turísticas
Técnico Superior en Agencias de Viajes y Gestión de Eventos"
Hostelería y Turismo,HOT337_3,"Vinos, otras bebidas y productos selectos propios de sumillería",3,Ciclo Grado Superior,Técnico Superior en Dirección de Servicios en Restauración
Hostelería y Turismo,HOT680_3,Gestión de procesos en servicios de restauración,3,Ciclo Grado Superior,"Técnico Superior en Dirección de Servicios en Restauración
Técnico Superior en Dirección de Cocina"
Hostelería y Turismo,HOT772_3,Gestión de productos turísticos,3,Ciclo Grado Superior,"Técnico Superior en Agencias de Viajes y Gestión de Eventos
Técnico Superior en Guía, Información y Asistencias Turísticas"
Imagen Personal,IMP022_1,Servicios auxiliares de peluquería,1,Ciclo Grado Básico,Técnico Básico en Peluquería y Estética
Imagen Personal,IMP118_1,Servicios auxiliares de estética,1,Ciclo Grado Básico,Técnico Básico en Peluquería y Estética
Imagen Personal,IMP119_2,Peluquería,2,Ciclo Grado Medio,Técnico en Peluquería y Cosmética Capilar
Imagen Personal,IMP120_2,"Servicios estéticos de higiene, depilación y maquillaje",2,Ciclo Grado Medio,Técnico en Estética y Belleza
Imagen Personal,IMP121_2,Cuidados estéticos de manos y pies,2,Ciclo Grado Medio,"Técnico en Estética y Belleza
Técnico en Peluquería y Cosmética Capilar"
Imagen Personal,IMP023_3,Hidrotermal,3,Ciclo Grado Superior,"Técnico Superior en Estética Integral y Bienestar
Técnico Superior en Termalismo y Bienestar"
Imagen Personal,IMP024_3,Maquillaje integral,3,Ciclo Grado Superior,Técnico Superior en Estética Integral y Bienestar
Imagen Personal,IMP182_3 ,"Bronceado, maquillaje y depilación avanzada",3,Ciclo Grado Superior,Técnico Superior en Estética Integral y Bienestar
Imagen Personal,IMP248_3,Masajes estéticos y técnicas sensoriales asociadas,3,Ciclo Grado Superior,"Técnico Superior en Estética Integral y Bienestar
Técnico Superior en Termalismo y Bienestar"
Imagen Personal,IMP249_3,Peluquería técnico-artística,3,Ciclo Grado Superior,"Técnico Superior en Estilismo y Dirección de Peluquería
Técnico Superior en Asesoría de Imagen Personal y Corporativa
Técnico Superior en Caracterización y Maquillaje Profesional"
Imagen Personal,IMP250_3,Tratamientos estéticos,3,Ciclo Grado Superior,Técnico Superior en Estética Integral y Bienestar
Imagen Personal,IMP395_3,Asesoría integral de imagen personal,3,Ciclo Grado Superior,Técnico Superior en Asesoría de Imagen Personal y Corporativa
Imagen Personal,IMP396_3,Caracterización de personajes,3,Ciclo Grado Superior,Técnico Superior en Caracterización y Maquillaje Profesional
Imagen Personal,IMP397_3,Tratamientos capilares estéticos,3,Ciclo Grado Superior,"Técnico Superior en Estilismo y Dirección de Peluquería
Técnico Superior en Asesoría de Imagen Personal y Corporativa"
Imagen Personal,IMP799_3 ,Micropigmentación,3,Ciclo Grado Superior,Técnico Superior en Estética Integral y Bienestar
Imagen y Sonido,IMS434_2,Animación musical y visual en vivo y en directo,2,Ciclo Grado Medio,Técnico en Vídeo Disc-jockey y Sonido
Imagen y Sonido,IMS436_2,Operaciones de sonido,2,Ciclo Grado Medio,Técnico en Vídeo Disc-jockey y Sonido
Imagen y Sonido,IMS074_3,Asistencia a la producción en televisión,3,Ciclo Grado Superior,Técnico Superior en Producción de Audiovisuales y Espectáculos
Imagen y Sonido,IMS075_3,Luminotecnia para el espectáculo en vivo,3,Ciclo Grado Superior,"Técnico Superior en Iluminación, Captación y Tratamiento de Imagen"
Imagen y Sonido,IMS076_3,Animación 2D Y 3D,3,Ciclo Grado Superior,"Técnico Superior en Animaciones 3D, Juegos y Entornos Interactivos"
Imagen y Sonido,IMS077_3,Asistencia a la realización en televisión,3,Ciclo Grado Superior,Técnico Superior en Realización de Proyectos Audiovisuales y Espectáculos
Imagen y Sonido,IMS220_3,Asistencia a la dirección cinematográfica y de obras audiovisuales,3,Ciclo Grado Superior,Técnico Superior en Realización de Proyectos Audiovisuales y Espectáculos
Imagen y Sonido,IMS221_3,Asistencia a la producción cinematográfica y de obras audiovisuales,3,Ciclo Grado Superior,Técnico Superior en Producción de Audiovisuales y Espectáculos
Imagen y Sonido,IMS294_3,"Cámara de cine, vídeo y televisión",3,Ciclo Grado Superior,"Técnico Superior en Iluminación, Captación y Tratamiento de Imagen"
Imagen y Sonido,IMS295_3,Desarrollo de productos audiovisuales multimedia interactivos,3,Ciclo Grado Superior,"Técnico Superior en Animaciones 3D, Juegos y Entornos Interactivos"
Imagen y Sonido,IMS296_3,Montaje y postproducción de audiovisuales,3,Ciclo Grado Superior,"Técnico Superior en Animaciones 3D, Juegos y Entornos Interactivos
Técnico Superior en Realización de Proyectos Audiovisuales y Espectáculos"
Imagen y Sonido,IMS437_3,Asistencia a la producción de espectáculos en vivo y eventos,3,Ciclo Grado Superior,Técnico Superior en Producción de Audiovisuales y Espectáculos
Imagen y Sonido,IMS438_3,"Desarrollo de proyectos y control de sonido en audiovisuales, radio e industria discográfica",3,Ciclo Grado Superior,Técnico Superior en Sonido para Audiovisuales y Espectáculos
Imagen y Sonido,IMS439_3,Desarrollo de proyectos y control de sonido en vivo y en instalaciones fijas,3,Ciclo Grado Superior,Técnico Superior en Sonido para Audiovisuales y Espectáculos
