Familia profesional,Código QP,Cualificación Profesional,Nivel,Código Certificado,Certificado Profesional,Código y certificado
Fabricación Mecánica,FME034_2,Mecanizado por corte y conformado,2,FMEH0209,Mecanizado por corte y conformado,FMEH0209 Mecanizado por corte y conformado
Fabricación Mecánica,FME037_3,Diseño de productos de fabricación mecánica,3,FMEE0308,Diseño de productos de fabricación mecánica,FMEE0308 Diseño de productos de fabricación mecánica
Fabricación Mecánica,FME187_3,"Producción en mecanizado, conformado y montaje mecánico",3,FMEM0209,"Producción en mecanizado, conformado y montaje mecánico","FMEM0209 Producción en mecanizado, conformado y montaje mecánico"
Fabricación Mecánica,FME351_2,Fabricación y montaje de instalaciones de tubería industrial,2,FMEC0108,Fabricación y montaje de instalaciones de tubería industrial,FMEC0108 Fabricación y montaje de instalaciones de tubería industrial
Fabricación Mecánica,FME352_2,Montaje y puesta en marcha de bienes de equipo y maquinaria industrial ,2,FMEE0208,Montaje y puesta en marcha de bienes de equipo y maquinaria industrial,FMEE0208 Montaje y puesta en marcha de bienes de equipo y maquinaria industrial
Fabricación Mecánica,FME354_3,Diseño de calderería y estructuras metálicas,3,FMEC0208,Diseño de calderería y estructuras metálicas,FMEC0208 Diseño de calderería y estructuras metálicas
Fabricación Mecánica,FME355_3,Diseño de tubería industrial,3,FMEC0209,Diseño de tubería industrial,FMEC0209 Diseño de tubería industrial
Fabricación Mecánica,FME356_3,Gestión de la producción en fabricación mecánica,3,FMEM0109,Gestión de la producción en fabricación mecánica,FMEM0109 Gestión de la producción en fabricación mecánica
Fabricación Mecánica,FME357_3,Producción en construcciones metálicas,3,FMEC0109,Producción en construcciones metálicas,FMEC0109 Producción en construcciones metálicas
Fabricación Mecánica,FME684_2,"Soldadura por arco bajo gas protector con electrodo consumible, soldeo “MIG/MAG”",2,FMEC0119_2,"Soldadura por arco bajo gas protector con electrodo consumible, soldeo “MIG/MAG”","FMEC0119_2 Soldadura por arco bajo gas protector con electrodo consumible, soldeo “MIG/MAG”"
Fabricación Mecánica,FME685_2,"Soldadura por arco bajo gas protector con electrodo no consumible, soldeo “TIG”.",2,FMEC0219_2,"Soldadura por arco bajo gas protector con electrodo no consumible, soldeo “TIG”.","FMEC0219_2 Soldadura por arco bajo gas protector con electrodo no consumible, soldeo “TIG”."
Fabricación Mecánica,FME686_2,Soldadura por arco con electrodo revestido,2,FMEC0319_2,Soldadura por arco con electrodo revestido,FMEC0319_2 Soldadura por arco con electrodo revestido
Hostelería y Turismo,HOT091_1,Operaciones básicas de cocina,1,HOTR0108,Operaciones básicas de cocina,HOTR0108 Operaciones básicas de cocina
Hostelería y Turismo,HOT092_1,Operaciones básicas de restaurante y bar,1,HOTR0208,Operaciones básicas de restaurante y bar,HOTR0208 Operaciones básicas de restaurante y bar
Hostelería y Turismo,HOT093_2,Cocina,2,HOTR0408,Cocina,HOTR0408 Cocina
Hostelería y Turismo,HOT094_3,Recepción,3,HOTA0308,Recepción en alojamientos,HOTA0308 Recepción en alojamientos
Hostelería y Turismo,HOT222_1,Operaciones básicas de pisos en alojamientos,1,HOTA0108,Operaciones básicas de pisos en alojamientos,HOTA0108 Operaciones básicas de pisos en alojamientos
Hostelería y Turismo,HOT223_2,Repostería,2,HOTR0509,Repostería,HOTR0509 Repostería
Hostelería y Turismo,HOT325_1,Operaciones básicas de catering,1,HOTR0308,Operaciones básicas de catering,HOTR0308 Operaciones básicas de catering
Hostelería y Turismo,HOT326_2,Alojamiento rural,2,HOTU0109,Alojamiento rural,HOTU0109 Alojamiento rural
Hostelería y Turismo,HOT332_3,Dirección y producción en cocina,3,HOTR0110,Dirección y producción en cocina,HOTR0110 Dirección y producción en cocina
Hostelería y Turismo,HOT333_3,Gestión de pisos y limpieza en alojamientos,3,HOTA0208,Gestión de pisos y limpieza en alojamientos,HOTA0208 Gestión de pisos y limpieza en alojamientos
Hostelería y Turismo,HOT336_3,Promoción turística local e información al visitante,3,HOTI0108,Promoción turística local e información al visitante,HOTI0108 Promoción turística local e información al visitante
Hostelería y Turismo,HOT337_3,"Vinos, otras bebidas y productos selectos propios de sumillería",3,HOTR0209,Sumillería,HOTR0209 Sumillería
Hostelería y Turismo,HOT414_1,Operaciones básicas de pastelería,1,HOTR0109,Operaciones básicas de pastelería,HOTR0109 Operaciones básicas de pastelería
Hostelería y Turismo,HOT679_2,"Servicios de restaurante, bar y cafetería",2,"HOTR0608
HOTR0508","Servicios de restaurante
Servicios de bar y cafeteria","HOTR0608 Servicios de restaurante
HOTR0508 Servicios de bar y cafeteria"
Imagen Personal,IMP022_1,Servicios auxiliares de peluquería,1,IMPQ0108,Servicios auxiliares de peluquería,IMPQ0108 Servicios auxiliares de peluquería
