Familia profesional,Código QP,Cualificación profesional,Código y cualificación,Nivel
Electricidad y Electrónica,ELE188_2,"Montaje y mantenimiento de instalaciones de megafonía, sonorización de locales y circuito cerrado de televisión","ELE188_2 Montaje y mantenimiento de instalaciones de megafonía, sonorización de locales y circuito cerrado de televisión",2
Electricidad y Electrónica,ELE189_2,Montaje y mantenimiento de sistemas de telefonía e infraestructuras de redes locales de datos,ELE189_2 Montaje y mantenimiento de sistemas de telefonía e infraestructuras de redes locales de datos,2
Electricidad y Electrónica,ELE257_2,Montaje y mantenimiento de instalaciones eléctricas de baja tensión,ELE257_2 Montaje y mantenimiento de instalaciones eléctricas de baja tensión,2
Electricidad y Electrónica,ELE599_2,Montaje y mantenimiento de sistemas de automatización industrial,ELE599_2 Montaje y mantenimiento de sistemas de automatización industrial,2
Electricidad y Electrónica,ELE258_3,Desarrollo de proyectos de infraestructuras de telecomunicaciones y otras redes de voz y datos en edificaciones,ELE258_3 Desarrollo de proyectos de infraestructuras de telecomunicaciones y otras redes de voz y datos en edificaciones,3
Electricidad y Electrónica,ELE259_3,Desarrollo de proyectos de instalaciones eléctricas en el entorno de edificios y con finesespeciales,ELE259_3 Desarrollo de proyectos de instalaciones eléctricas en el entorno de edificios y con finesespeciales,3
Electricidad y Electrónica,ELE260_3,Desarrollo de proyectos de redes eléctricas de baja y alta tensión,ELE260_3 Desarrollo de proyectos de redes eléctricas de baja y alta tensión,3
Electricidad y Electrónica,ELE381_3,Gestión y supervisión de la instalación y mantenimiento de sistemas de electromedicina,ELE381_3 Gestión y supervisión de la instalación y mantenimiento de sistemas de electromedicina,3
Electricidad y Electrónica,ELE382_3,Gestión y supervisión del montaje y mantenimiento de instalaciones eléctricas en el entorno de edificios,ELE382_3 Gestión y supervisión del montaje y mantenimiento de instalaciones eléctricas en el entorno de edificios,3
Electricidad y Electrónica,ELE383_3,Gestión y supervisión del montaje y mantenimiento de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios,ELE383_3 Gestión y supervisión del montaje y mantenimiento de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios,3
Electricidad y Electrónica,ELE385_3,Gestión y supervisión del montaje y mantenimiento de  redes eléctricas de baja tensión y alumbrado exterior,ELE385_3 Gestión y supervisión del montaje y mantenimiento de  redes eléctricas de baja tensión y alumbrado exterior,3
Electricidad y Electrónica,ELE484_3,Desarrollo de proyectos de sistemas de automatización industrial,ELE484_3 Desarrollo de proyectos de sistemas de automatización industrial,3
Electricidad y Electrónica,ELE485_3,Gestión y supervisión del montaje y mantenimiento de equipamiento de red y estaciones base de telefonía,ELE485_3 Gestión y supervisión del montaje y mantenimiento de equipamiento de red y estaciones base de telefonía,3
Electricidad y Electrónica,ELE486_3,Gestión y supervisión del montaje y mantenimiento de sistemas de automatización industrial,ELE486_3 Gestión y supervisión del montaje y mantenimiento de sistemas de automatización industrial,3
Electricidad y Electrónica,ELE487_3,Gestión y supervisión del montaje y mantenimiento de  sistemas de producción audiovisual y de radiodifusión,ELE487_3 Gestión y supervisión del montaje y mantenimiento de  sistemas de producción audiovisual y de radiodifusión,3
Electricidad y Electrónica,ELE552_3,Mantenimiento de equipos electrónicos,ELE552_3 Mantenimiento de equipos electrónicos,3
Electricidad y Electrónica,ELE786_3,Gestión y supervisión del montaje y mantenimiento de instalaciones de alta tensión,ELE786_3 Gestión y supervisión del montaje y mantenimiento de instalaciones de alta tensión,3
Electricidad y Electrónica,ELE812_3,"Implantación y mantenimiento de sistemas domóticos, inmóticos y de control de accesos, presencia y videovigilancia","ELE812_3 Implantación y mantenimiento de sistemas domóticos, inmóticos y de control de accesos, presencia y videovigilancia",3
Electricidad y Electrónica,ELE813_3,Desarrollo de proyectos y gestión de sistemas de robótica colaborativa,ELE813_3 Desarrollo de proyectos y gestión de sistemas de robótica colaborativa,3
Energía y Agua,ENA620_1,Operaciones auxiliares en el montaje y mantenimiento de instalaciones de energías renovables,ENA620_1 Operaciones auxiliares en el montaje y mantenimiento de instalaciones de energías renovables,1
Energía y Agua,ENA190_2,Montaje y mantenimiento de instalaciones solares térmicas,ENA190_2 Montaje y mantenimiento de instalaciones solares térmicas,2
Energía y Agua,ENA191_2,Montaje y mantenimiento de redes de agua,ENA191_2 Montaje y mantenimiento de redes de agua,2
Energía y Agua,ENA261_2,Montaje y mantenimiento de instalaciones solares fotovoltaicas,ENA261_2 Montaje y mantenimiento de instalaciones solares fotovoltaicas,2
Energía y Agua,ENA472_2,"Montaje, puesta en servicio, mantenimiento, inspección y revisión de instalaciones receptoras y aparatos de gas","ENA472_2 Montaje, puesta en servicio, mantenimiento, inspección y revisión de instalaciones receptoras y aparatos de gas",2
Energía y Agua,ENA193_3,Gestión del montaje y mantenimiento de parques eólicos,ENA193_3 Gestión del montaje y mantenimiento de parques eólicos,3
Energía y Agua,ENA262_3,Organización y control del montaje y mantenimiento de redes e instalaciones de agua y saneamiento,ENA262_3 Organización y control del montaje y mantenimiento de redes e instalaciones de agua y saneamiento,3
Energía y Agua,ENA263_3,Organización y proyectos de instalaciones solares fotovoltaicas,ENA263_3 Organización y proyectos de instalaciones solares fotovoltaicas,3
Energía y Agua,ENA264_3,Organización y proyectos de instalaciones solares térmicas,ENA264_3 Organización y proyectos de instalaciones solares térmicas,3
Energía y Agua,ENA358_3,Eficiencia energética de edificios,ENA358_3 Eficiencia energética de edificios,3
Energía y Agua,ENA656_3 ,Gestión del uso eficiente del agua,ENA656_3  Gestión del uso eficiente del agua,3
Energía y Agua,ENA739_3,Auditoría energética,ENA739_3 Auditoría energética,3
Fabricación Mecánica,FME031_1,Operaciones auxiliares de fabricación mecánica,FME031_1 Operaciones auxiliares de fabricación mecánica,1
Fabricación Mecánica,FME032_2,Mecanizado por arranque de viruta,FME032_2 Mecanizado por arranque de viruta,2
Fabricación Mecánica,FME033_2,"Mecanizado por abrasión, electroerosión y procedimientos especiales","FME033_2 Mecanizado por abrasión, electroerosión y procedimientos especiales",2
Fabricación Mecánica,FME034_2,Mecanizado por corte y conformado,FME034_2 Mecanizado por corte y conformado,2
Fabricación Mecánica,FME350_2,"Calderería, carpintería y montaje de construcciones metálicas","FME350_2 Calderería, carpintería y montaje de construcciones metálicas",2
Fabricación Mecánica,FME351_2,Fabricación y montaje de instalaciones de tubería industrial,FME351_2 Fabricación y montaje de instalaciones de tubería industrial,2
Fabricación Mecánica,FME352_2,Montaje y puesta en marcha de bienes de equipo y maquinaria industrial,FME352_2 Montaje y puesta en marcha de bienes de equipo y maquinaria industrial,2
Fabricación Mecánica,FME684_2,"Soldadura por arco bajo gas protector con electrodo consumible, soldeo ""MIG/MAG""","FME684_2 Soldadura por arco bajo gas protector con electrodo consumible, soldeo ""MIG/MAG""",2
Fabricación Mecánica,FME685_2,"Soldadura por arco bajo gas protector con electrodo no consumible, soldeo ""TIG""","FME685_2 Soldadura por arco bajo gas protector con electrodo no consumible, soldeo ""TIG""",2
Fabricación Mecánica,FME686_2,Soldadura por arco con electrodo revestido,FME686_2 Soldadura por arco con electrodo revestido,2
Fabricación Mecánica,FME037_3,Diseño de productos de fabricación mecánica,FME037_3 Diseño de productos de fabricación mecánica,3
Fabricación Mecánica,FME187_3,"Producción en mecanizado, conformado y montaje mecánico","FME187_3 Producción en mecanizado, conformado y montaje mecánico",3
Fabricación Mecánica,FME354_3,Diseño de calderería y estructuras metálicas,FME354_3 Diseño de calderería y estructuras metálicas,3
Fabricación Mecánica,FME355_3,Diseño de tubería industrial,FME355_3 Diseño de tubería industrial,3
Fabricación Mecánica,FME356_3,Gestión de la producción en fabricación mecánica,FME356_3 Gestión de la producción en fabricación mecánica,3
Fabricación Mecánica,FME357_3,Producción en construcciones metálicas,FME357_3 Producción en construcciones metálicas,3
Hostelería y Turismo,HOT091_1,Operaciones básicas de cocina,HOT091_1 Operaciones básicas de cocina,1
Hostelería y Turismo,HOT092_1,Operaciones básicas de restaurante y bar,HOT092_1 Operaciones básicas de restaurante y bar,1
Hostelería y Turismo,HOT222_1,Operaciones básicas de pisos en alojamientos,HOT222_1 Operaciones básicas de pisos en alojamientos,1
Hostelería y Turismo,HOT325_1,Operaciones básicas de catering,HOT325_1 Operaciones básicas de catering,1
Hostelería y Turismo,HOT414_1,Operaciones básicas de pastelería,HOT414_1 Operaciones básicas de pastelería,1
Hostelería y Turismo,HOT093_2,Cocina,HOT093_2 Cocina,2
Hostelería y Turismo,HOT223_2,Repostería,HOT223_2 Repostería,2
Hostelería y Turismo,HOT326_2,Alojamiento rural,HOT326_2 Alojamiento rural,2
Hostelería y Turismo,HOT679_2,"Servicios de restaurante, bar y cafetería","HOT679_2 Servicios de restaurante, bar y cafetería",2
Hostelería y Turismo,HOT094_3,Recepción,HOT094_3 Recepción,3
Hostelería y Turismo,HOT332_3,Dirección y producción en cocina,HOT332_3 Dirección y producción en cocina,3
Hostelería y Turismo,HOT333_3,Gestión de pisos y limpieza en alojamientos,HOT333_3 Gestión de pisos y limpieza en alojamientos,3
Hostelería y Turismo,HOT335_3,Guía de turismo,HOT335_3 Guía de turismo,3
